Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
6.02559586074353e+02	(6.09718613437001e+01dB,-9.24304584121658e+01°)
6.16595001861477e+02	(6.07710917504697e+01dB,-9.25398998973838e+01°)
6.30957344480188e+02	(6.05702787887559e+01dB,-9.26506653798523e+01°)
6.45654229034650e+02	(6.03694207592802e+01dB,-9.27628118900537e+01°)
6.60693448007591e+02	(6.01685158696100e+01dB,-9.28763970759491e+01°)
6.76082975391976e+02	(5.99675622305772e+01dB,-9.29914792260748e+01°)
6.91830970918931e+02	(5.97665578525482e+01dB,-9.31081172893476e+01°)
7.07945784384132e+02	(5.95655006414533e+01dB,-9.32263708989464e+01°)
7.24435960074984e+02	(5.93643883946667e+01dB,-9.33463003919805e+01°)
7.41310241300911e+02	(5.91632187966601e+01dB,-9.34679668314037e+01°)
7.58577575029177e+02	(5.89619894144491e+01dB,-9.35914320267908e+01°)
7.76247116628685e+02	(5.87606976928557e+01dB,-9.37167585529137e+01°)
7.94328234724275e+02	(5.85593409494750e+01dB,-9.38440097733815e+01°)
8.12830516164092e+02	(5.83579163695224e+01dB,-9.39732498554742e+01°)
8.31763771102664e+02	(5.81564210003325e+01dB,-9.41045437928369e+01°)
8.51138038202369e+02	(5.79548517457123e+01dB,-9.42379574207596e+01°)
8.70963589956073e+02	(5.77532053599707e+01dB,-9.43735574357102e+01°)
8.91250938133738e+02	(5.75514784417149e+01dB,-9.45114114123925e+01°)
9.12010839355902e+02	(5.73496674274290e+01dB,-9.46515878171122e+01°)
9.33254300796983e+02	(5.71477685846727e+01dB,-9.47941560270496e+01°)
9.54992586021428e+02	(5.69457780051064e+01dB,-9.49391863415167e+01°)
9.77237220955802e+02	(5.67436915971610e+01dB,-9.50867499967762e+01°)
9.99999999999991e+02	(5.65415050784446e+01dB,-9.52369191773240e+01°)
1.02329299228075e+03	(5.63392139678335e+01dB,-9.53897670268323e+01°)
1.04712854805089e+03	(5.61368135771984e+01dB,-9.55453676606202e+01°)
1.07151930523760e+03	(5.59342990029604e+01dB,-9.57037961684138e+01°)
1.09647819614318e+03	(5.57316651171164e+01dB,-9.58651286268225e+01°)
1.12201845430195e+03	(5.55289065580979e+01dB,-9.60294421008944e+01°)
1.14815362149687e+03	(5.53260177212257e+01dB,-9.61968146475267e+01°)
1.17489755493952e+03	(5.51229927487660e+01dB,-9.63673253193544e+01°)
1.20226443461740e+03	(5.49198255197532e+01dB,-9.65410541606439e+01°)
1.23026877081237e+03	(5.47165096393522e+01dB,-9.67180822059445e+01°)
1.25892541179416e+03	(5.45130384278794e+01dB,-9.68984914753029e+01°)
1.28824955169312e+03	(5.43094049095139e+01dB,-9.70823649642246e+01°)
1.31825673855640e+03	(5.41056018005535e+01dB,-9.72697866347907e+01°)
1.34896288259164e+03	(5.39016214973767e+01dB,-9.74608414003278e+01°)
1.38038426460287e+03	(5.36974560639606e+01dB,-9.76556151098515e+01°)
1.41253754462274e+03	(5.34930972191055e+01dB,-9.78541945261314e+01°)
1.44543977074591e+03	(5.32885363232295e+01dB,-9.80566673021293e+01°)
1.47910838816819e+03	(5.30837643648550e+01dB,-9.82631219515819e+01°)
1.51356124843619e+03	(5.28787719465831e+01dB,-9.84736478214223e+01°)
1.54881661891247e+03	(5.26735492709952e+01dB,-9.86883350482843e+01°)
1.58489319246110e+03	(5.24680861259137e+01dB,-9.89072745223404e+01°)
1.62181009735891e+03	(5.22623718694304e+01dB,-9.91305578419705e+01°)
1.65958690743754e+03	(5.20563954148759e+01dB,-9.93582772535441e+01°)
1.69824365246173e+03	(5.18501452148942e+01dB,-9.95905256073808e+01°)
1.73780082874936e+03	(5.16436092460053e+01dB,-9.98273962801717e+01°)
1.77827941003891e+03	(5.14367749920938e+01dB,-1.00068983119887e+02°)
1.81970085860997e+03	(5.12296294284562e+01dB,-1.00315380356616e+02°)
1.86208713666285e+03	(5.10221590049598e+01dB,-1.00566682530343e+02°)
1.90546071796323e+03	(5.08143496295780e+01dB,-1.00822984392767e+02°)
1.94984459975803e+03	(5.06061866514263e+01dB,-1.01084380814590e+02°)
1.99526231496886e+03	(5.03976548439614e+01dB,-1.01350966676144e+02°)
2.04173794466951e+03	(5.01887383880173e+01dB,-1.01622836754618e+02°)
2.08929613085402e+03	(4.99794208549381e+01dB,-1.01900085599970e+02°)
2.13796208950221e+03	(4.97696851897375e+01dB,-1.02182807403723e+02°)
2.18776162394953e+03	(4.95595136944426e+01dB,-1.02471095857187e+02°)
2.23872113856832e+03	(4.93488880118675e+01dB,-1.02765043994824e+02°)
2.29086765276775e+03	(4.91377891093205e+01dB,-1.03064744037546e+02°)
2.34422881531990e+03	(4.89261972628084e+01dB,-1.03370287222682e+02°)
2.39883291901947e+03	(4.87140920423008e+01dB,-1.03681763608485e+02°)
2.45470891568501e+03	(4.85014522967260e+01dB,-1.03999261890389e+02°)
2.51188643150955e+03	(4.82882561401825e+01dB,-1.04322869192314e+02°)
2.57039578276884e+03	(4.80744809392308e+01dB,-1.04652670840977e+02°)
2.63026799189535e+03	(4.78601033003024e+01dB,-1.04988750148440e+02°)
2.69153480392689e+03	(4.76450990592208e+01dB,-1.05331188158570e+02°)
2.75422870333814e+03	(4.74294432712539e+01dB,-1.05680063398329e+02°)
2.81838293126442e+03	(4.72131102029958e+01dB,-1.06035451606929e+02°)
2.88403150312658e+03	(4.69960733253494e+01dB,-1.06397425462900e+02°)
2.95120922666635e+03	(4.67783053089064e+01dB,-1.06766054284416e+02°)
3.01995172040198e+03	(4.65597780205719e+01dB,-1.07141403732801e+02°)
3.09029543251356e+03	(4.63404625228027e+01dB,-1.07523535492241e+02°)
3.16227766016835e+03	(4.61203290748506e+01dB,-1.07912506944503e+02°)
3.23593656929625e+03	(4.58993471365019e+01dB,-1.08308370832889e+02°)
3.31131121482588e+03	(4.56774853747511e+01dB,-1.08711174909677e+02°)
